Close,High,Low,Open,Volume,return,cpi_release,cpi_surprise,vol_5d,vol_20d,vol_60d,return_lag1,return_lag5,VIX,cpi_t,cpi_tm1,cpi_tp1,vol_spike
2067.889892578125,2084.050048828125,2067.0400390625,2084.050048828125,3376550000,-0.008834686217530795,0,0.0,0.010326546098790811,0.009312033711919208,0.008979614027207181,0.012162382647149434,-0.006158345701590925,15.29,0,0.0,0.0,0
2059.68994140625,2067.6298828125,2048.3798828125,2067.6298828125,3543270000,-0.0039732542018475255,0,0.0,0.007952006439921225,0.009304246953109312,0.008662312668526195,-0.008834686217530795,-0.014665926527239062,15.11,0,0.0,0.0,0
2066.9599609375,2072.169921875,2057.320068359375,2060.030029296875,3095960000,0.0035234523037141535,0,0.0,0.007972990923063307,0.0093467565065248,0.008585728502837883,-0.0039732542018475255,-0.0023803307374738966,14.67,0,0.0,0.0,0
2080.6201171875,2086.989990234375,2056.52001953125,2064.8701171875,3302970000,0.006587072647165644,0,0.0,0.008361356089585707,0.008920215017805459,0.008500942075814002,0.0035234523037141535,0.0023657607295033602,14.74,0,0.0,0.0,0
2076.330078125,2089.81005859375,2076.10009765625,2080.7900390625,3065510000,-0.002064032708587167,0,0.0,0.006110822877972681,0.008889682417494982,0.008197406853847986,0.006587072647165644,0.012162382647149434,14.78,0,0.0,0.0,0
2081.89990234375,2086.68994140625,2073.300048828125,2076.93994140625,3265330000,0.0026789415573472003,0,0.0,0.0042985335922182955,0.00794525317037635,0.008126128649004414,-0.002064032708587167,-0.008834686217530795,13.98,0,0.0,0.0,0
2091.179931640625,2093.31005859375,2074.2900390625,2081.2900390625,3172360000,0.004447575873625805,0,0.0,0.003200706473891421,0.007953269325167878,0.008067063659724497,0.0026789415573472003,-0.0039732542018475255,13.09,0,0.0,0.0,0
2102.06005859375,2102.610107421875,2091.510009765625,2091.510009765625,3156200000,0.005189376899456221,0,0.0,0.0033476524327472087,0.00756495652214174,0.008078971055358063,0.004447575873625805,0.0035234523037141535,12.58,0,0.0,1.0,0
2092.429931640625,2107.64990234375,2092.330078125,2102.030029296875,2908420000,-0.004591806820961145,1,-0.08199970497003717,0.004266877325905272,0.007499423066641243,0.008063734301702331,0.005189376899456221,0.006587072647165644,13.94,1,0.0,0.0,0
2095.840087890625,2098.6201171875,2083.239990234375,2092.280029296875,3301270000,0.00162843225851382,0,0.0,0.0038771719049922656,0.006904583171167361,0.007957886735184777,-0.004591806820961145,-0.002064032708587167,13.67,0,1.0,0.0,0
